"#";"Name";"Quantity";"Value";"Name"
"1";"OSTYK31103030";"2";"";"AC_MAINS1, PUMP_OUT"
"2";"AZ1117H-3.3TRE1";"1";"";"AZ"
"3";"HAE102MBABF0KR";"2";"0.1uF";"C1, C3"
"4";"KM107M025D11RR0VH2FP0";"1";"1000uF";"C2"
"5";"CAP100RP";"2";"10uF";"C4, C6"
"6";"HAE102MBABF0KR";"2";"22pF";"C5, C8"
"7";"KM107M025D11RR0VH2FP0";"1";"10uF";"C7"
"8";"KM107M025D11RR0VH2FP0";"1";"220uF";"C9"
"9";"LED";"4";"";"D1, D2, D3, D4"
"10";"1N4007FFG";"4";"";"D5, D6, D7, D8"
"11";"DIO_BREAKDOWN1";"1";"SS14";"D10"
"12";"HDR-1x5H";"1";"";"FTDI"
"13";"HLK-2M05";"1";"5V 2W";"HL-2M05"
"14";"JQX-30F(T91)";"1";"12VDC 30A 250VAC";"K2"
"15";"PPTC201-401R/10D391";"1";"201-401R/10D391";"PTC2"
"16";"TRANS NPN";"1";"80V 500mA";"Q3"
"17";"RES400";"1";"";"R1"
"18";"RES400";"3";"220 ohms";"R2, R4, R5"
"19";"RES400";"1";"220 ohm";"R3"
"20";"RES400";"3";"2K";"R7, R9, R11"
"21";"RES400";"3";"1K";"R8, R10, R12"
"22";"RES";"1";"1K OHM 5% 1/10W";"R14"
"23";"D6C00 F1 LFS";"2";"";"S1, S3"
"24";"OSTYC022150";"1";"";"SWITCH_PINOUT"
"25";"Step Down Transformer";"1";"15V 300mA";"T2"
"26";"ATMEGA328P-PU";"1";"";"U1"
"27";"L7812CV";"1";"";"U4"
"28";"F8L10D";"1";"F8L10D";"U8"
"29";"VARISTOR";"1";"820V 10KA";"VR2"
"30";"ECS-10-13-1";"1";"16mA";"Y1"
"";"";"47";"";""
